ID,Curso,Origem,Especialidade_Medico,Consultor,Etapa,Status,Valor_Proposta_R$,Data_Primeiro_Contato,Dias_No_Funil,Motivo_Perda,Turma_Interesse,Score_Lead,Observacoes
187,SHHE,LinkedIn,Medicina do Trabalho,Vendedor 7,Matriculado,Ganho,14900.00,09/01/2026,38,,T3/26,58,Pix recebido
188,SHHE,Webinar,Medicina do Trabalho,Vendedor 4,Matriculado,Ganho,14900.00,11/05/2026,71,,T1/26,44,Pix recebido
189,R2,WhatsApp,Ortopedia,Vendedor 1,Matriculado,Ganho,7225.00,23/04/2026,93,,T2/26,84,Pagamento confirmado
190,EAD,Email Marketing,Dermatologia,Vendedor 1,Perdido,Perdido,1200.00,31/03/2026,34,Escolheu concorrente,T4/26,45,Lead frio
191,SHHE,Parceiro Clínica,Geriatria,Vendedor 3,Matriculado,Ganho,14155.00,20/04/2026,81,,T2/26,47,Boleto gerado
192,SHHE,Indicação,Medicina do Trabalho,Vendedor 3,Negociação,Em andamento,14155.00,13/02/2026,69,,T3/26,67,Esperando retorno do cônjuge
193,R2,Instagram,Ortopedia,Vendedor 4,Matriculado,Ganho,8500.00,16/04/2026,97,,T1/26,65,Boleto gerado
194,EAD,Google Ads,Cardiologia,Vendedor 5,Matriculado,Ganho,1020.00,23/06/2026,32,,T4/26,92,Boleto gerado
195,R2,Instagram,Neurologia,Vendedor 2,Proposta Enviada,Em andamento,8500.00,24/01/2026,82,,T4/26,95,Aguardando leitura
196,NEXAL,WhatsApp,Pediatria,Vendedor 2,Proposta Enviada,Em andamento,9800.00,24/01/2026,112,,T4/26,75,Follow-up agendado para 3 dias
197,R2,Site Orgânico,Cardiologia,Vendedor 2,Matriculado,Ganho,8500.00,24/03/2026,35,,T3/26,73,Boleto gerado
198,R2,Webinar,Nutrologia,Vendedor 4,Matriculado,Ganho,8500.00,10/06/2026,13,,T4/26,32,Pagamento confirmado
199,SHHE,Webinar,Pediatria,Vendedor 7,Perdido,Perdido,14900.00,26/06/2026,26,Sem tempo no momento,T3/26,50,Não retornou após 5 contatos
200,HTI,WhatsApp,Dermatologia,Vendedor 7,Proposta Enviada,Em andamento,15973.20,14/01/2026,22,,T4/26,69,Aguardando leitura
201,EAD,Email Marketing,Psiquiatria,Vendedor 4,Contato Realizado,Em andamento,1200.00,24/02/2026,1,,T4/26,39,Demo agendada
202,R2,Email Marketing,Ortopedia,Vendedor 4,Proposta Enviada,Em andamento,8500.00,29/03/2026,90,,T1/26,84,Aguardando leitura
203,SHHE,Webinar,Clínica Geral,Vendedor 5,Proposta Enviada,Em andamento,13410.00,27/01/2026,104,,T1/26,70,Proposta personalizada enviada
204,NEXAL,Google Ads,Psiquiatria,Vendedor 1,Matriculado,Ganho,8330.00,14/06/2026,18,,T2/26,38,Pagamento confirmado
205,R2,Google Ads,Pediatria,Vendedor 3,Matriculado,Ganho,7650.00,08/02/2026,96,,T4/26,86,Boleto gerado
206,HTI,LinkedIn,Endocrinologia,Vendedor 1,Contato Realizado,Em andamento,15973.20,31/03/2026,50,,T4/26,70,Demo agendada
207,SHHE,Instagram,Neurologia,Vendedor 7,Proposta Enviada,Em andamento,14155.00,05/06/2026,77,,T3/26,33,Aguardando leitura
208,NEXAL,Email Marketing,Ortopedia,Vendedor 6,Negociação,Em andamento,8820.00,17/03/2026,51,,T1/26,60,Em análise de parcelamento
209,POS,LinkedIn,Cardiologia,Vendedor 2,Matriculado,Ganho,38000.00,04/01/2026,68,,T3/26,70,Boleto gerado
210,POS,Parceiro Clínica,Psiquiatria,Vendedor 3,Negociação,Em andamento,38000.00,01/05/2026,98,,T1/26,32,Aguardando aprovação financeira
211,HTI,Instagram,Cardiologia,Vendedor 7,Perdido,Perdido,15085.80,10/05/2026,51,Proposta não aprovada pela empresa,T4/26,84,Confirmou escolha do concorrente
212,POS,LinkedIn,Neurologia,Vendedor 6,Negociação,Em andamento,38000.00,22/01/2026,36,,T3/26,40,Proposta revisada enviada
213,SHHE,Congresso,Nutrologia,Vendedor 2,Negociação,Em andamento,12665.00,16/06/2026,107,,T1/26,69,Em análise de parcelamento
214,EAD,Email Marketing,Ginecologia,Vendedor 5,Contato Realizado,Em andamento,1200.00,27/04/2026,15,,T1/26,69,Pediu proposta
215,EAD,Google Ads,Clínica Geral,Vendedor 7,Matriculado,Ganho,1080.00,11/02/2026,2,,T4/26,74,Pix recebido
216,SHHE,WhatsApp,Endocrinologia,Vendedor 4,Matriculado,Ganho,14900.00,31/01/2026,94,,T1/26,72,Parcelado 12x aprovado
217,NEXAL,Congresso,Clínica Geral,Vendedor 3,Matriculado,Ganho,9310.00,20/01/2026,81,,T4/26,88,Pix recebido
218,HTI,Webinar,Medicina do Trabalho,Vendedor 5,Proposta Enviada,Em andamento,17748.00,27/01/2026,99,,T1/26,59,Aguardando leitura
219,R2,Indicação,Ginecologia,Vendedor 1,Matriculado,Ganho,8500.00,01/05/2026,6,,T3/26,79,Boleto gerado
220,SHHE,Indicação,Ortopedia,Vendedor 1,Perdido,Perdido,13410.00,18/04/2026,84,Não respondeu após follow-up,T3/26,61,Não retornou após 5 contatos
221,EAD,WhatsApp,Dermatologia,Vendedor 1,Lead Captado,Em andamento,1200.00,09/05/2026,16,,T1/26,52,Aguardando primeiro contato
222,R2,Indicação,Psiquiatria,Vendedor 7,Matriculado,Ganho,7225.00,21/03/2026,37,,T3/26,41,Parcelado 12x aprovado
223,HTI,WhatsApp,Cardiologia,Vendedor 3,Negociação,Em andamento,17748.00,09/06/2026,95,,T2/26,89,Esperando retorno do cônjuge
224,R2,Webinar,Cardiologia,Vendedor 4,Perdido,Perdido,7225.00,04/03/2026,102,Sem tempo no momento,T1/26,82,Lead frio
225,SHHE,Congresso,Nutrologia,Vendedor 4,Matriculado,Ganho,14900.00,01/01/2026,43,,T4/26,69,Pagamento confirmado
226,SHHE,Congresso,Cardiologia,Vendedor 2,Negociação,Em andamento,14900.00,13/03/2026,19,,T1/26,35,Proposta revisada enviada
227,R2,Site Orgânico,Geriatria,Vendedor 3,Negociação,Em andamento,7650.00,29/05/2026,11,,T1/26,94,Proposta revisada enviada
228,EAD,Site Orgânico,Clínica Geral,Vendedor 6,Negociação,Em andamento,1200.00,03/02/2026,85,,T2/26,67,Esperando retorno do cônjuge
229,NEXAL,Site Orgânico,Geriatria,Vendedor 1,Matriculado,Ganho,9800.00,11/03/2026,58,,T2/26,39,Boleto gerado
230,SHHE,Parceiro Clínica,Clínica Geral,Vendedor 5,Contato Realizado,Em andamento,14900.00,22/03/2026,60,,T4/26,45,Pediu proposta
231,NEXAL,Email Marketing,Pediatria,Vendedor 3,Negociação,Em andamento,8330.00,24/01/2026,16,,T2/26,68,Aguardando aprovação financeira
232,SHHE,WhatsApp,Endocrinologia,Vendedor 7,Matriculado,Ganho,14900.00,12/05/2026,51,,T1/26,68,Pix recebido
233,SHHE,Indicação,Psiquiatria,Vendedor 1,Negociação,Em andamento,13410.00,05/03/2026,71,,T1/26,89,Aguardando aprovação financeira
234,SHHE,LinkedIn,Ginecologia,Vendedor 7,Matriculado,Ganho,14900.00,20/02/2026,17,,T4/26,77,Pagamento confirmado
235,R2,Parceiro Clínica,Dermatologia,Vendedor 1,Lead Captado,Em andamento,8500.00,15/06/2026,26,,T4/26,46,Aguardando primeiro contato
236,NEXAL,LinkedIn,Ginecologia,Vendedor 2,Lead Captado,Em andamento,9310.00,12/04/2026,56,,T4/26,33,Aguardando primeiro contato
237,EAD,Site Orgânico,Endocrinologia,Vendedor 3,Contato Realizado,Em andamento,1200.00,13/03/2026,36,,T4/26,49,Demo agendada
238,R2,Parceiro Clínica,Medicina do Trabalho,Vendedor 5,Matriculado,Ganho,8500.00,21/05/2026,53,,T4/26,37,Pagamento confirmado
239,NEXAL,Site Orgânico,Endocrinologia,Vendedor 2,Contato Realizado,Em andamento,8330.00,05/03/2026,68,,T1/26,78,Pediu proposta
240,NEXAL,Webinar,Ortopedia,Vendedor 1,Negociação,Em andamento,9310.00,24/03/2026,65,,T4/26,64,Proposta revisada enviada
241,HTI,WhatsApp,Medicina do Trabalho,Vendedor 5,Lead Captado,Em andamento,15085.80,13/03/2026,100,,T1/26,90,Aguardando primeiro contato
242,R2,Email Marketing,Endocrinologia,Vendedor 7,Proposta Enviada,Em andamento,8500.00,17/05/2026,35,,T1/26,58,Aguardando leitura
243,POS,WhatsApp,Endocrinologia,Vendedor 5,Proposta Enviada,Em andamento,38000.00,28/06/2026,104,,T3/26,33,Aguardando leitura
244,EAD,WhatsApp,Medicina do Trabalho,Vendedor 6,Contato Realizado,Em andamento,1200.00,07/05/2026,108,,T3/26,52,Interesse demonstrado
245,HTI,LinkedIn,Ginecologia,Vendedor 5,Negociação,Em andamento,17748.00,03/05/2026,68,,T1/26,72,Proposta revisada enviada
246,SHHE,WhatsApp,Geriatria,Vendedor 5,Perdido,Perdido,12665.00,24/03/2026,112,Preço acima do esperado,T1/26,48,Confirmou escolha do concorrente
247,EAD,Google Ads,Clínica Geral,Vendedor 1,Negociação,Em andamento,1200.00,06/04/2026,10,,T4/26,42,Esperando retorno do cônjuge
248,NEXAL,WhatsApp,Endocrinologia,Vendedor 5,Matriculado,Ganho,9800.00,13/06/2026,102,,T4/26,70,Boleto gerado
249,EAD,Congresso,Geriatria,Vendedor 6,Matriculado,Ganho,1200.00,31/05/2026,86,,T2/26,78,Pix recebido
250,EAD,Instagram,Endocrinologia,Vendedor 5,Matriculado,Ganho,1080.00,11/04/2026,74,,T1/26,53,Pix recebido
251,R2,Email Marketing,Neurologia,Vendedor 6,Contato Realizado,Em andamento,8500.00,26/03/2026,19,,T1/26,60,Interesse demonstrado
252,NEXAL,Google Ads,Neurologia,Vendedor 7,Matriculado,Ganho,8820.00,27/03/2026,82,,T4/26,31,Pix recebido
253,SHHE,Email Marketing,Geriatria,Vendedor 7,Proposta Enviada,Em andamento,12665.00,01/01/2026,14,,T1/26,79,Proposta personalizada enviada
254,EAD,Site Orgânico,Endocrinologia,Vendedor 2,Negociação,Em andamento,1200.00,20/05/2026,45,,T4/26,42,Em análise de parcelamento
255,R2,Email Marketing,Endocrinologia,Vendedor 2,Lead Captado,Em andamento,7225.00,17/03/2026,5,,T1/26,70,Aguardando primeiro contato
256,HTI,LinkedIn,Nutrologia,Vendedor 5,Matriculado,Ganho,17748.00,20/01/2026,94,,T1/26,73,Parcelado 12x aprovado
257,EAD,Indicação,Psiquiatria,Vendedor 4,Contato Realizado,Em andamento,1200.00,14/01/2026,21,,T1/26,72,Demo agendada
258,SHHE,Site Orgânico,Geriatria,Vendedor 6,Matriculado,Ganho,13410.00,09/03/2026,70,,T3/26,68,Boleto gerado
259,HTI,Indicação,Psiquiatria,Vendedor 6,Negociação,Em andamento,17748.00,14/01/2026,20,,T3/26,30,Em análise de parcelamento
260,HTI,Instagram,Neurologia,Vendedor 4,Negociação,Em andamento,17748.00,07/01/2026,13,,T2/26,51,Esperando retorno do cônjuge
261,HTI,Webinar,Clínica Geral,Vendedor 3,Matriculado,Ganho,17748.00,19/06/2026,63,,T3/26,41,Parcelado 12x aprovado
262,SHHE,WhatsApp,Psiquiatria,Vendedor 3,Contato Realizado,Em andamento,14900.00,23/04/2026,34,,T4/26,63,Demo agendada
263,NEXAL,Parceiro Clínica,Ginecologia,Vendedor 5,Matriculado,Ganho,8820.00,22/01/2026,13,,T3/26,99,Parcelado 12x aprovado
264,R2,Email Marketing,Ortopedia,Vendedor 7,Matriculado,Ganho,7225.00,18/04/2026,67,,T4/26,60,Parcelado 12x aprovado
265,NEXAL,LinkedIn,Psiquiatria,Vendedor 1,Matriculado,Ganho,9310.00,13/05/2026,74,,T2/26,45,Parcelado 12x aprovado
266,SHHE,Google Ads,Cardiologia,Vendedor 1,Contato Realizado,Em andamento,14900.00,21/01/2026,55,,T4/26,55,Pediu proposta
267,SHHE,Parceiro Clínica,Dermatologia,Vendedor 3,Perdido,Perdido,12665.00,23/01/2026,9,Perfil não alinhado com o curso,T4/26,100,Não retornou após 5 contatos
268,NEXAL,Congresso,Pediatria,Vendedor 1,Lead Captado,Em andamento,8820.00,31/05/2026,80,,T4/26,44,Aguardando primeiro contato
269,SHHE,Google Ads,Medicina do Trabalho,Vendedor 6,Negociação,Em andamento,14900.00,28/01/2026,119,,T1/26,66,Esperando retorno do cônjuge
270,POS,Instagram,Psiquiatria,Vendedor 4,Negociação,Em andamento,36100.00,10/01/2026,61,,T2/26,65,Em análise de parcelamento
271,SHHE,Parceiro Clínica,Medicina do Trabalho,Vendedor 4,Matriculado,Ganho,14900.00,26/03/2026,51,,T2/26,36,Parcelado 12x aprovado
272,NEXAL,WhatsApp,Ginecologia,Vendedor 3,Matriculado,Ganho,9800.00,13/03/2026,40,,T4/26,42,Boleto gerado
273,SHHE,Instagram,Geriatria,Vendedor 2,Matriculado,Ganho,14900.00,17/04/2026,35,,T1/26,54,Parcelado 12x aprovado
274,SHHE,Site Orgânico,Geriatria,Vendedor 2,Matriculado,Ganho,12665.00,15/01/2026,48,,T2/26,38,Pix recebido
275,EAD,Congresso,Psiquiatria,Vendedor 5,Matriculado,Ganho,1140.00,26/05/2026,113,,T1/26,52,Boleto gerado
276,SHHE,Indicação,Cardiologia,Vendedor 7,Negociação,Em andamento,14900.00,20/02/2026,91,,T3/26,77,Em análise de parcelamento
277,R2,Site Orgânico,Neurologia,Vendedor 7,Matriculado,Ganho,8500.00,06/05/2026,48,,T4/26,52,Parcelado 12x aprovado
278,R2,Congresso,Nutrologia,Vendedor 3,Contato Realizado,Em andamento,8500.00,26/06/2026,96,,T1/26,66,Demo agendada
279,POS,Indicação,Endocrinologia,Vendedor 1,Negociação,Em andamento,38000.00,26/02/2026,110,,T2/26,56,Esperando retorno do cônjuge
280,EAD,Site Orgânico,Ortopedia,Vendedor 7,Matriculado,Ganho,1020.00,03/01/2026,88,,T4/26,46,Boleto gerado
281,R2,Indicação,Cardiologia,Vendedor 3,Negociação,Em andamento,8500.00,14/06/2026,92,,T3/26,84,Em análise de parcelamento
282,NEXAL,Webinar,Dermatologia,Vendedor 5,Negociação,Em andamento,8820.00,09/06/2026,67,,T4/26,43,Aguardando aprovação financeira
283,R2,WhatsApp,Ortopedia,Vendedor 4,Negociação,Em andamento,8500.00,25/06/2026,39,,T1/26,91,Aguardando aprovação financeira
284,NEXAL,Instagram,Neurologia,Vendedor 3,Matriculado,Ganho,9800.00,16/06/2026,84,,T3/26,54,Boleto gerado
285,R2,Email Marketing,Ginecologia,Vendedor 1,Matriculado,Ganho,7225.00,14/04/2026,77,,T3/26,47,Pagamento confirmado
286,EAD,Webinar,Dermatologia,Vendedor 3,Perdido,Perdido,1200.00,10/01/2026,50,Não respondeu após follow-up,T3/26,58,Confirmou escolha do concorrente
287,R2,Webinar,Neurologia,Vendedor 3,Negociação,Em andamento,7225.00,18/06/2026,22,,T2/26,67,Aguardando aprovação financeira
288,POS,Google Ads,Geriatria,Vendedor 3,Matriculado,Ganho,36100.00,16/02/2026,98,,T3/26,41,Boleto gerado
289,NEXAL,Email Marketing,Geriatria,Vendedor 1,Proposta Enviada,Em andamento,8330.00,26/03/2026,114,,T3/26,63,Aguardando leitura
290,NEXAL,Webinar,Clínica Geral,Vendedor 2,Lead Captado,Em andamento,8820.00,29/05/2026,75,,T1/26,90,Aguardando primeiro contato
291,R2,LinkedIn,Neurologia,Vendedor 2,Negociação,Em andamento,8500.00,08/02/2026,7,,T2/26,55,Esperando retorno do cônjuge
292,POS,Parceiro Clínica,Pediatria,Vendedor 5,Proposta Enviada,Em andamento,34200.00,21/01/2026,24,,T4/26,72,Aguardando leitura
293,SHHE,WhatsApp,Neurologia,Vendedor 7,Lead Captado,Em andamento,14900.00,13/02/2026,27,,T2/26,92,Aguardando primeiro contato
294,SHHE,Parceiro Clínica,Psiquiatria,Vendedor 4,Proposta Enviada,Em andamento,14900.00,09/04/2026,62,,T1/26,34,Aguardando leitura
295,SHHE,WhatsApp,Ginecologia,Vendedor 3,Matriculado,Ganho,14155.00,05/01/2026,25,,T1/26,61,Boleto gerado
296,EAD,WhatsApp,Dermatologia,Vendedor 5,Contato Realizado,Em andamento,1140.00,20/03/2026,76,,T2/26,38,Demo agendada
297,NEXAL,Instagram,Pediatria,Vendedor 4,Negociação,Em andamento,9310.00,22/04/2026,44,,T2/26,73,Em análise de parcelamento
298,NEXAL,Email Marketing,Endocrinologia,Vendedor 1,Proposta Enviada,Em andamento,9800.00,03/02/2026,29,,T2/26,32,Aguardando leitura
299,R2,Google Ads,Clínica Geral,Vendedor 3,Matriculado,Ganho,7225.00,07/04/2026,5,,T3/26,98,Pagamento confirmado
300,R2,Indicação,Neurologia,Vendedor 7,Matriculado,Ganho,8500.00,26/06/2026,7,,T1/26,83,Parcelado 12x aprovado
301,POS,LinkedIn,Ortopedia,Vendedor 3,Negociação,Em andamento,38000.00,27/06/2026,27,,T1/26,68,Em análise de parcelamento
302,EAD,LinkedIn,Neurologia,Vendedor 6,Proposta Enviada,Em andamento,1140.00,05/02/2026,90,,T4/26,43,Aguardando leitura
303,EAD,Parceiro Clínica,Clínica Geral,Vendedor 3,Contato Realizado,Em andamento,1200.00,20/02/2026,64,,T2/26,63,Pediu proposta
304,SHHE,WhatsApp,Geriatria,Vendedor 2,Proposta Enviada,Em andamento,14900.00,08/05/2026,71,,T2/26,91,Proposta personalizada enviada
305,SHHE,Indicação,Ginecologia,Vendedor 4,Contato Realizado,Em andamento,14900.00,27/05/2026,107,,T4/26,49,Demo agendada
306,R2,LinkedIn,Geriatria,Vendedor 4,Contato Realizado,Em andamento,8500.00,01/03/2026,83,,T4/26,67,Interesse demonstrado
307,POS,Indicação,Clínica Geral,Vendedor 1,Contato Realizado,Em andamento,38000.00,16/03/2026,110,,T3/26,70,Interesse demonstrado
308,EAD,LinkedIn,Clínica Geral,Vendedor 1,Matriculado,Ganho,1200.00,05/02/2026,2,,T2/26,72,Pix recebido
309,POS,Parceiro Clínica,Dermatologia,Vendedor 4,Contato Realizado,Em andamento,32300.00,16/02/2026,44,,T1/26,81,Interesse demonstrado
310,POS,Instagram,Psiquiatria,Vendedor 4,Matriculado,Ganho,32300.00,16/06/2026,54,,T2/26,44,Boleto gerado
311,EAD,Indicação,Endocrinologia,Vendedor 7,Proposta Enviada,Em andamento,1140.00,26/05/2026,62,,T4/26,53,Aguardando leitura
312,POS,WhatsApp,Medicina do Trabalho,Vendedor 7,Matriculado,Ganho,32300.00,03/02/2026,94,,T4/26,92,Pagamento confirmado
313,POS,Webinar,Ginecologia,Vendedor 7,Proposta Enviada,Em andamento,38000.00,23/06/2026,2,,T2/26,73,Aguardando leitura
314,R2,Parceiro Clínica,Clínica Geral,Vendedor 2,Matriculado,Ganho,8500.00,30/03/2026,62,,T4/26,49,Pagamento confirmado
315,HTI,Google Ads,Ortopedia,Vendedor 1,Negociação,Em andamento,17748.00,12/02/2026,112,,T1/26,92,Esperando retorno do cônjuge
316,SHHE,WhatsApp,Dermatologia,Vendedor 7,Negociação,Em andamento,14155.00,07/04/2026,83,,T4/26,60,Aguardando aprovação financeira
317,POS,Webinar,Medicina do Trabalho,Vendedor 2,Contato Realizado,Em andamento,38000.00,22/03/2026,58,,T1/26,93,Pediu proposta
318,EAD,Indicação,Clínica Geral,Vendedor 2,Proposta Enviada,Em andamento,1140.00,01/01/2026,71,,T1/26,68,Aguardando leitura
319,R2,Email Marketing,Neurologia,Vendedor 4,Negociação,Em andamento,8500.00,14/01/2026,47,,T2/26,88,Esperando retorno do cônjuge
320,R2,Parceiro Clínica,Medicina do Trabalho,Vendedor 2,Matriculado,Ganho,8500.00,26/04/2026,92,,T1/26,42,Boleto gerado
321,HTI,WhatsApp,Nutrologia,Vendedor 1,Matriculado,Ganho,15085.80,21/05/2026,38,,T3/26,43,Pagamento confirmado
322,SHHE,Webinar,Endocrinologia,Vendedor 1,Matriculado,Ganho,13410.00,28/01/2026,53,,T3/26,55,Boleto gerado
323,HTI,Site Orgânico,Cardiologia,Vendedor 2,Matriculado,Ganho,17748.00,28/03/2026,92,,T1/26,83,Pagamento confirmado
324,EAD,Parceiro Clínica,Clínica Geral,Vendedor 1,Matriculado,Ganho,1200.00,31/05/2026,85,,T2/26,93,Pagamento confirmado
325,R2,Indicação,Ortopedia,Vendedor 2,Matriculado,Ganho,8500.00,11/05/2026,119,,T2/26,52,Boleto gerado
326,HTI,Site Orgânico,Neurologia,Vendedor 6,Negociação,Em andamento,17748.00,09/04/2026,65,,T4/26,61,Esperando retorno do cônjuge
327,POS,WhatsApp,Dermatologia,Vendedor 2,Matriculado,Ganho,38000.00,04/06/2026,53,,T3/26,100,Pix recebido
328,EAD,Congresso,Neurologia,Vendedor 5,Contato Realizado,Em andamento,1140.00,16/03/2026,92,,T3/26,46,Pediu proposta
329,EAD,Google Ads,Ortopedia,Vendedor 6,Matriculado,Ganho,1200.00,30/01/2026,91,,T3/26,91,Parcelado 12x aprovado
330,EAD,Congresso,Dermatologia,Vendedor 1,Proposta Enviada,Em andamento,1200.00,28/01/2026,67,,T1/26,78,Follow-up agendado para 3 dias
331,HTI,Indicação,Cardiologia,Vendedor 3,Matriculado,Ganho,17748.00,24/06/2026,37,,T3/26,48,Pagamento confirmado
332,EAD,Instagram,Cardiologia,Vendedor 1,Negociação,Em andamento,1200.00,26/04/2026,105,,T1/26,58,Em análise de parcelamento
333,SHHE,Congresso,Geriatria,Vendedor 3,Matriculado,Ganho,14900.00,08/04/2026,119,,T4/26,83,Pix recebido
334,R2,Indicação,Ginecologia,Vendedor 4,Proposta Enviada,Em andamento,8075.00,24/04/2026,112,,T2/26,77,Aguardando leitura
335,R2,Parceiro Clínica,Cardiologia,Vendedor 1,Matriculado,Ganho,8500.00,25/04/2026,38,,T2/26,39,Boleto gerado
336,SHHE,Congresso,Clínica Geral,Vendedor 2,Lead Captado,Em andamento,14900.00,09/03/2026,72,,T2/26,50,Aguardando primeiro contato
337,HTI,WhatsApp,Pediatria,Vendedor 4,Perdido,Perdido,17748.00,24/03/2026,20,Preço acima do esperado,T3/26,92,Confirmou escolha do concorrente
338,R2,WhatsApp,Clínica Geral,Vendedor 1,Matriculado,Ganho,8075.00,17/02/2026,29,,T1/26,94,Boleto gerado
339,POS,Congresso,Ortopedia,Vendedor 2,Contato Realizado,Em andamento,38000.00,24/02/2026,114,,T3/26,72,Interesse demonstrado
340,NEXAL,Email Marketing,Medicina do Trabalho,Vendedor 6,Negociação,Em andamento,9310.00,16/06/2026,106,,T1/26,44,Esperando retorno do cônjuge
341,POS,Email Marketing,Neurologia,Vendedor 6,Perdido,Perdido,38000.00,24/06/2026,6,Adiou para próxima turma,T4/26,44,Não retornou após 5 contatos
342,NEXAL,Congresso,Geriatria,Vendedor 3,Lead Captado,Em andamento,9310.00,06/04/2026,106,,T4/26,92,Aguardando primeiro contato
343,NEXAL,Email Marketing,Nutrologia,Vendedor 6,Contato Realizado,Em andamento,9800.00,18/05/2026,22,,T1/26,38,Demo agendada
344,EAD,Email Marketing,Neurologia,Vendedor 2,Matriculado,Ganho,1200.00,29/06/2026,69,,T4/26,39,Boleto gerado
345,HTI,Webinar,Geriatria,Vendedor 3,Lead Captado,Em andamento,17748.00,15/02/2026,7,,T3/26,39,Aguardando primeiro contato
346,NEXAL,Site Orgânico,Psiquiatria,Vendedor 2,Matriculado,Ganho,9800.00,05/01/2026,41,,T4/26,45,Pagamento confirmado
347,EAD,Parceiro Clínica,Clínica Geral,Vendedor 1,Matriculado,Ganho,1200.00,19/01/2026,90,,T3/26,94,Pagamento confirmado
348,NEXAL,Instagram,Medicina do Trabalho,Vendedor 7,Proposta Enviada,Em andamento,9800.00,12/04/2026,49,,T1/26,90,Follow-up agendado para 3 dias
349,R2,Email Marketing,Endocrinologia,Vendedor 4,Proposta Enviada,Em andamento,7225.00,20/05/2026,109,,T3/26,48,Proposta personalizada enviada
350,EAD,WhatsApp,Ginecologia,Vendedor 6,Matriculado,Ganho,1200.00,11/01/2026,16,,T1/26,80,Pagamento confirmado
351,NEXAL,Email Marketing,Geriatria,Vendedor 4,Perdido,Perdido,9800.00,16/04/2026,28,Questões financeiras pessoais,T2/26,50,Lead frio
352,SHHE,Parceiro Clínica,Dermatologia,Vendedor 5,Contato Realizado,Em andamento,13410.00,26/05/2026,103,,T1/26,100,Interesse demonstrado
353,EAD,Congresso,Clínica Geral,Vendedor 3,Matriculado,Ganho,1200.00,20/02/2026,13,,T4/26,72,Pix recebido
354,SHHE,Email Marketing,Clínica Geral,Vendedor 3,Negociação,Em andamento,14900.00,05/05/2026,41,,T4/26,72,Esperando retorno do cônjuge
355,EAD,Parceiro Clínica,Endocrinologia,Vendedor 6,Negociação,Em andamento,1020.00,20/04/2026,41,,T2/26,30,Esperando retorno do cônjuge
356,SHHE,Email Marketing,Geriatria,Vendedor 4,Matriculado,Ganho,14900.00,03/04/2026,108,,T2/26,72,Parcelado 12x aprovado
357,POS,Webinar,Nutrologia,Vendedor 1,Proposta Enviada,Em andamento,36100.00,14/02/2026,14,,T1/26,65,Follow-up agendado para 3 dias
358,R2,Email Marketing,Dermatologia,Vendedor 4,Matriculado,Ganho,8500.00,20/01/2026,94,,T1/26,94,Pagamento confirmado
359,R2,Parceiro Clínica,Psiquiatria,Vendedor 1,Negociação,Em andamento,8500.00,08/03/2026,71,,T4/26,49,Esperando retorno do cônjuge
360,POS,Email Marketing,Medicina do Trabalho,Vendedor 4,Matriculado,Ganho,38000.00,09/05/2026,60,,T1/26,80,Pix recebido
361,R2,Indicação,Neurologia,Vendedor 5,Matriculado,Ganho,7225.00,25/06/2026,79,,T2/26,95,Boleto gerado
362,POS,Google Ads,Endocrinologia,Vendedor 6,Perdido,Perdido,34200.00,07/02/2026,112,Desistiu por mudança de prioridades,T3/26,35,Lead frio
363,POS,Email Marketing,Clínica Geral,Vendedor 3,Proposta Enviada,Em andamento,38000.00,22/02/2026,86,,T3/26,79,Proposta personalizada enviada
364,POS,Indicação,Ginecologia,Vendedor 4,Proposta Enviada,Em andamento,34200.00,12/06/2026,67,,T3/26,63,Aguardando leitura
365,R2,Parceiro Clínica,Endocrinologia,Vendedor 2,Matriculado,Ganho,8500.00,17/06/2026,76,,T1/26,96,Pix recebido
366,POS,Email Marketing,Ortopedia,Vendedor 2,Proposta Enviada,Em andamento,32300.00,05/05/2026,45,,T4/26,30,Aguardando leitura
367,SHHE,Webinar,Endocrinologia,Vendedor 5,Lead Captado,Em andamento,13410.00,24/02/2026,36,,T2/26,53,Aguardando primeiro contato
368,NEXAL,Parceiro Clínica,Geriatria,Vendedor 1,Contato Realizado,Em andamento,9800.00,26/03/2026,54,,T1/26,91,Pediu proposta
369,POS,Webinar,Cardiologia,Vendedor 6,Contato Realizado,Em andamento,32300.00,06/01/2026,53,,T2/26,35,Demo agendada
370,R2,Parceiro Clínica,Endocrinologia,Vendedor 5,Negociação,Em andamento,8500.00,27/05/2026,115,,T2/26,37,Proposta revisada enviada
371,NEXAL,Google Ads,Ortopedia,Vendedor 2,Negociação,Em andamento,9310.00,05/01/2026,82,,T3/26,40,Proposta revisada enviada
372,POS,Parceiro Clínica,Pediatria,Vendedor 1,Negociação,Em andamento,38000.00,16/04/2026,107,,T2/26,53,Esperando retorno do cônjuge
373,SHHE,WhatsApp,Pediatria,Vendedor 6,Negociação,Em andamento,14900.00,09/04/2026,49,,T2/26,43,Aguardando aprovação financeira
374,SHHE,Congresso,Ortopedia,Vendedor 4,Proposta Enviada,Em andamento,14900.00,25/01/2026,78,,T2/26,90,Aguardando leitura
375,R2,Indicação,Ortopedia,Vendedor 6,Matriculado,Ganho,8500.00,18/06/2026,62,,T2/26,99,Pagamento confirmado
