ID,Curso,Turma,Mes_Realizacao,Cidade,Nota_NPS_0_10,Nota_Conteudo,Nota_Professor,Nota_Plataforma_EAD,Nota_Suporte,Nota_Logistica,Perfil_Aluno,Modalidade,Recomendaria,Comentario_Aberto
181,SHHE,T3/26,Fevereiro,Fortaleza,2,5,6,3,4,4,Médico recém-formado,Presencial,Não,Intervalo muito curto para o volume de conteúdo.
182,HTI,T2/26,Abril,São Paulo,10,9,9,8,10,9,Médico recém-formado,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
183,POS,T3/26,Junho,Fortaleza,4,5,6,3,4,4,Coordenador de área,Presencial,Não,Suporte não respondeu meu e-mail em 3 dias. Abaixo do esperado.
184,HTI,T2/26,Março,São Paulo,7,6,7,6,6,8,Médico,Presencial,Talvez,Bom conteúdo mas apresentação dos slides poderia ser mais visual.
185,HTI,T4/26,Janeiro,São Paulo,9,8,10,9,10,9,Coordenador de área,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
186,SHHE,T3/26,Janeiro,São Paulo,9,10,10,6,7,9,Especialista,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
187,R2,T5/26,Maio,Fortaleza,0,5,6,3,4,4,Médico recém-formado,Híbrido,Não,Plataforma travou várias vezes durante o módulo 3. Muito frustrante.
188,R2,T1/26,Maio,Fortaleza,9,8,8,8,7,8,Médico,Híbrido,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
189,SHHE,T2/26,Janeiro,São Paulo,10,10,10,10,9,8,Especialista,Presencial,Sim,O suporte antes e durante o curso foi impecável.
190,NEXAL,T4/26,Junho,Fortaleza,10,10,10,10,9,10,Residente,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
191,NEXAL,T4/26,Janeiro,Fortaleza,9,10,9,7,8,10,Coordenador de área,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
192,POS,T5/26,Junho,Fortaleza,8,8,9,5,9,9,Residente,Presencial,Talvez,Material impresso com alguns erros de formatação.
193,NEXAL,T1/26,Abril,Fortaleza,7,6,8,6,8,7,Médico recém-formado,Presencial,Talvez,Material impresso com alguns erros de formatação.
194,POS,T1/26,Janeiro,Fortaleza,7,7,7,5,7,6,Médico,Presencial,Talvez,Bom de forma geral. A plataforma EAD precisa melhorar.
195,NEXAL,T3/26,Fevereiro,Fortaleza,10,9,9,9,8,10,Residente,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
196,R2,T3/26,Fevereiro,Fortaleza,9,9,9,7,8,7,Médico recém-formado,Híbrido,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
197,R2,T1/26,Maio,Fortaleza,10,10,10,10,10,10,Residente,Híbrido,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
198,HTI,T4/26,Abril,Fortaleza,8,7,7,8,7,8,Médico recém-formado,Presencial,Talvez,Alguns módulos muito densos para o tempo disponível.
199,SHHE,T5/26,Janeiro,São Paulo,9,10,8,9,9,8,Coordenador de área,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
200,R2,T5/26,Janeiro,Fortaleza,8,7,7,8,6,9,Especialista,Híbrido,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
201,NEXAL,T3/26,Abril,Fortaleza,5,5,6,3,6,5,Coordenador de área,Presencial,Não,"Temperatura do espaço muito baixa, dificultou a concentração."
202,HTI,T3/26,Maio,Fortaleza,8,7,7,5,8,9,Residente,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
203,HTI,T2/26,Junho,São Paulo,8,9,7,5,8,6,Médico,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
204,NEXAL,T1/26,Março,Fortaleza,8,9,8,7,7,7,Médico recém-formado,Presencial,Talvez,Bom conteúdo mas apresentação dos slides poderia ser mais visual.
205,HTI,T2/26,Março,São Paulo,10,10,10,10,8,9,Médico recém-formado,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
206,POS,T3/26,Março,Fortaleza,10,10,9,7,10,10,Médico,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
207,R2,T2/26,Junho,Fortaleza,9,8,10,6,7,10,Médico,Híbrido,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
208,HTI,T2/26,Abril,São Paulo,7,6,7,5,7,7,Coordenador de área,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
209,R2,T1/26,Fevereiro,Fortaleza,7,7,7,7,6,8,Residente,Híbrido,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
210,NEXAL,T4/26,Fevereiro,Fortaleza,10,10,10,7,9,10,Médico,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
211,SHHE,T1/26,Abril,Fortaleza,2,5,6,3,4,4,Médico,Presencial,Não,Cronograma atrasou mais de 1h no segundo dia sem aviso.
212,HTI,T3/26,Abril,São Paulo,8,8,9,7,6,9,Especialista,Presencial,Talvez,Material impresso com alguns erros de formatação.
213,HTI,T1/26,Junho,São Paulo,10,9,10,8,10,9,Médico recém-formado,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
214,R2,T5/26,Abril,Fortaleza,9,8,10,6,8,7,Residente,Híbrido,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
215,HTI,T1/26,Maio,São Paulo,4,5,6,3,5,5,Coordenador de área,Presencial,Não,Suporte não respondeu meu e-mail em 3 dias. Abaixo do esperado.
216,SHHE,T3/26,Abril,São Paulo,10,10,10,9,10,8,Médico,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
217,R2,T5/26,Abril,Fortaleza,10,10,9,8,10,8,Residente,Híbrido,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
218,NEXAL,T4/26,Fevereiro,Fortaleza,10,10,10,10,10,8,Residente,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
219,HTI,T2/26,Junho,São Paulo,0,5,6,3,4,4,Coordenador de área,Presencial,Não,Suporte não respondeu meu e-mail em 3 dias. Abaixo do esperado.
220,HTI,T1/26,Maio,São Paulo,8,7,9,6,7,6,Médico,Presencial,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
221,NEXAL,T4/26,Abril,Fortaleza,10,10,10,10,10,10,Coordenador de área,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
222,NEXAL,T3/26,Junho,Fortaleza,8,9,9,8,6,8,Médico recém-formado,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
223,SHHE,T4/26,Fevereiro,São Paulo,7,7,6,5,8,7,Residente,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
224,SHHE,T4/26,Junho,Fortaleza,8,9,9,8,7,8,Especialista,Presencial,Talvez,Material impresso com alguns erros de formatação.
225,POS,T5/26,Abril,Fortaleza,10,10,10,8,8,10,Médico recém-formado,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
226,POS,T4/26,Maio,Fortaleza,10,10,10,7,8,10,Residente,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
227,SHHE,T5/26,Março,São Paulo,9,9,9,8,7,9,Médico,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
228,HTI,T2/26,Março,São Paulo,6,6,6,3,7,6,Médico,Presencial,Não,Plataforma travou várias vezes durante o módulo 3. Muito frustrante.
229,NEXAL,T2/26,Março,Fortaleza,10,10,10,8,8,10,Residente,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
230,POS,T5/26,Janeiro,Fortaleza,8,7,8,7,7,9,Coordenador de área,Presencial,Talvez,Alguns módulos muito densos para o tempo disponível.
231,HTI,T3/26,Março,São Paulo,7,7,8,6,6,6,Especialista,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
232,POS,T5/26,Fevereiro,Fortaleza,8,7,8,8,7,9,Coordenador de área,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
233,SHHE,T5/26,Abril,São Paulo,9,10,10,8,10,9,Coordenador de área,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
234,POS,T4/26,Abril,Fortaleza,2,5,6,3,4,4,Médico recém-formado,Presencial,Não,Esperava mais interação ao vivo. Ficou muito teórico.
235,SHHE,T5/26,Maio,São Paulo,9,10,9,6,10,8,Coordenador de área,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
236,POS,T5/26,Abril,Fortaleza,10,9,9,9,8,10,Médico recém-formado,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
237,NEXAL,T5/26,Abril,Fortaleza,10,9,9,7,9,9,Médico recém-formado,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
238,SHHE,T2/26,Junho,São Paulo,7,8,7,4,8,6,Médico,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
239,HTI,T2/26,Maio,São Paulo,9,8,8,6,10,7,Médico recém-formado,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
240,POS,T1/26,Janeiro,Fortaleza,8,8,7,6,8,9,Médico recém-formado,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
241,POS,T2/26,Junho,Fortaleza,2,5,6,3,4,4,Coordenador de área,Presencial,Não,"Temperatura do espaço muito baixa, dificultou a concentração."
242,NEXAL,T3/26,Junho,Fortaleza,6,7,6,5,6,7,Coordenador de área,Presencial,Não,Suporte não respondeu meu e-mail em 3 dias. Abaixo do esperado.
243,POS,T4/26,Abril,Fortaleza,7,7,7,4,8,5,Médico recém-formado,Presencial,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
244,HTI,T5/26,Abril,Fortaleza,10,9,10,10,10,8,Residente,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
245,R2,T5/26,Fevereiro,Fortaleza,8,9,9,8,6,7,Residente,Híbrido,Talvez,Material impresso com alguns erros de formatação.
246,R2,T3/26,Abril,Fortaleza,10,9,10,9,10,8,Coordenador de área,Híbrido,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
247,POS,T5/26,Junho,Fortaleza,7,8,8,6,6,7,Médico recém-formado,Presencial,Talvez,Material impresso com alguns erros de formatação.
248,R2,T5/26,Abril,Fortaleza,4,5,6,3,4,4,Médico,Híbrido,Não,"Temperatura do espaço muito baixa, dificultou a concentração."
249,POS,T3/26,Fevereiro,Fortaleza,10,10,9,7,9,10,Coordenador de área,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
250,HTI,T5/26,Março,Fortaleza,10,9,10,9,8,9,Especialista,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
251,POS,T4/26,Fevereiro,Fortaleza,10,10,10,8,9,10,Coordenador de área,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
252,NEXAL,T2/26,Fevereiro,Fortaleza,10,10,10,8,8,8,Médico,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
253,HTI,T2/26,Janeiro,São Paulo,9,10,8,8,8,10,Residente,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
254,R2,T4/26,Maio,Fortaleza,8,9,9,6,6,9,Coordenador de área,Híbrido,Talvez,Alguns módulos muito densos para o tempo disponível.
255,HTI,T5/26,Janeiro,Fortaleza,9,8,8,9,8,7,Médico recém-formado,Presencial,Sim,O suporte antes e durante o curso foi impecável.
256,NEXAL,T1/26,Fevereiro,Fortaleza,10,10,10,10,10,8,Residente,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
257,HTI,T5/26,Maio,São Paulo,9,10,10,8,10,7,Médico recém-formado,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
258,R2,T4/26,Março,Fortaleza,9,8,9,9,9,8,Especialista,Híbrido,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
259,SHHE,T2/26,Maio,São Paulo,8,9,7,6,9,6,Médico recém-formado,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
260,NEXAL,T1/26,Abril,Fortaleza,9,10,8,9,8,9,Médico,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
261,HTI,T4/26,Maio,São Paulo,8,8,8,6,6,6,Médico,Presencial,Talvez,Bom de forma geral. A plataforma EAD precisa melhorar.
262,R2,T5/26,Abril,Fortaleza,10,10,9,10,8,10,Coordenador de área,Híbrido,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
263,POS,T4/26,Maio,Fortaleza,6,6,6,5,6,5,Especialista,Presencial,Não,Intervalo muito curto para o volume de conteúdo.
264,HTI,T2/26,Fevereiro,Fortaleza,1,5,6,3,4,4,Médico,Presencial,Não,Suporte não respondeu meu e-mail em 3 dias. Abaixo do esperado.
265,HTI,T2/26,Abril,Fortaleza,3,5,6,3,4,4,Médico recém-formado,Presencial,Não,Intervalo muito curto para o volume de conteúdo.
266,POS,T1/26,Junho,Fortaleza,5,5,6,3,6,5,Residente,Presencial,Não,"Temperatura do espaço muito baixa, dificultou a concentração."
267,NEXAL,T3/26,Maio,Fortaleza,8,9,7,7,8,6,Médico,Presencial,Talvez,Material impresso com alguns erros de formatação.
268,POS,T5/26,Abril,Fortaleza,8,7,7,6,8,7,Médico,Presencial,Talvez,Material impresso com alguns erros de formatação.
269,SHHE,T1/26,Fevereiro,São Paulo,9,9,8,6,10,7,Especialista,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
270,R2,T4/26,Março,Fortaleza,10,9,9,9,10,10,Médico,Híbrido,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
271,POS,T4/26,Janeiro,Fortaleza,8,8,7,8,6,8,Médico,Presencial,Talvez,Material impresso com alguns erros de formatação.
272,HTI,T5/26,Março,São Paulo,10,10,9,7,10,10,Coordenador de área,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
273,HTI,T5/26,Abril,São Paulo,10,10,10,10,10,10,Residente,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
274,POS,T2/26,Fevereiro,Fortaleza,10,10,10,9,8,9,Médico recém-formado,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
275,NEXAL,T5/26,Abril,Fortaleza,3,5,6,3,4,4,Médico,Presencial,Não,Esperava mais interação ao vivo. Ficou muito teórico.
276,R2,T3/26,Março,Fortaleza,10,10,10,7,10,8,Coordenador de área,Híbrido,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
277,NEXAL,T4/26,Junho,Fortaleza,10,9,10,7,8,10,Médico recém-formado,Presencial,Sim,O suporte antes e durante o curso foi impecável.
278,NEXAL,T1/26,Abril,Fortaleza,7,7,7,7,6,6,Residente,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
279,R2,T1/26,Fevereiro,Fortaleza,6,5,6,6,6,4,Médico recém-formado,Híbrido,Não,Apostila com erros em vários módulos.
280,HTI,T3/26,Março,Fortaleza,10,10,10,7,9,10,Médico,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
281,R2,T4/26,Janeiro,Fortaleza,9,8,8,8,9,10,Médico,Híbrido,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
282,NEXAL,T2/26,Janeiro,Fortaleza,8,8,8,8,8,9,Especialista,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
283,SHHE,T3/26,Janeiro,São Paulo,7,8,6,4,6,7,Médico recém-formado,Presencial,Talvez,Material impresso com alguns erros de formatação.
284,SHHE,T4/26,Maio,Fortaleza,10,10,10,7,8,9,Médico recém-formado,Presencial,Sim,O suporte antes e durante o curso foi impecável.
285,R2,T5/26,Junho,Fortaleza,9,10,8,6,10,10,Especialista,Híbrido,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
286,SHHE,T5/26,Março,São Paulo,8,8,7,8,8,6,Residente,Presencial,Talvez,Bom conteúdo mas apresentação dos slides poderia ser mais visual.
287,POS,T3/26,Janeiro,Fortaleza,8,9,7,7,9,7,Coordenador de área,Presencial,Talvez,Alguns módulos muito densos para o tempo disponível.
288,SHHE,T5/26,Fevereiro,São Paulo,8,8,9,6,8,8,Especialista,Presencial,Talvez,Material impresso com alguns erros de formatação.
289,HTI,T1/26,Abril,São Paulo,10,10,10,8,9,10,Médico,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
290,HTI,T4/26,Março,São Paulo,10,10,10,7,9,8,Coordenador de área,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
291,SHHE,T1/26,Fevereiro,São Paulo,9,9,9,8,8,10,Médico recém-formado,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
292,NEXAL,T1/26,Março,Fortaleza,10,10,10,7,8,8,Especialista,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
293,POS,T4/26,Junho,Fortaleza,10,10,10,8,9,8,Residente,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
294,R2,T5/26,Março,Fortaleza,9,9,9,8,10,8,Médico recém-formado,Híbrido,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
295,NEXAL,T1/26,Fevereiro,Fortaleza,8,8,7,8,8,8,Coordenador de área,Presencial,Talvez,Material impresso com alguns erros de formatação.
296,SHHE,T2/26,Janeiro,São Paulo,10,10,9,10,10,10,Médico,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
297,NEXAL,T2/26,Janeiro,Fortaleza,8,8,8,6,7,8,Especialista,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
298,SHHE,T3/26,Fevereiro,Fortaleza,9,10,8,6,7,8,Médico,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
299,HTI,T3/26,Fevereiro,São Paulo,10,10,10,10,9,10,Especialista,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
300,HTI,T4/26,Abril,São Paulo,5,5,6,3,5,4,Residente,Presencial,Não,Suporte não respondeu meu e-mail em 3 dias. Abaixo do esperado.
301,NEXAL,T2/26,Maio,Fortaleza,8,8,9,5,8,6,Coordenador de área,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
302,R2,T3/26,Fevereiro,Fortaleza,10,10,10,7,8,9,Residente,Híbrido,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
303,POS,T2/26,Junho,Fortaleza,7,7,6,7,6,8,Especialista,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
304,SHHE,T1/26,Maio,São Paulo,10,9,10,7,10,9,Residente,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
305,POS,T3/26,Maio,Fortaleza,8,9,7,7,9,7,Especialista,Presencial,Talvez,Bom de forma geral. A plataforma EAD precisa melhorar.
306,NEXAL,T4/26,Abril,Fortaleza,10,10,10,9,10,10,Médico,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
307,HTI,T3/26,Abril,São Paulo,8,9,8,5,7,9,Especialista,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
308,NEXAL,T4/26,Junho,Fortaleza,6,6,6,6,5,4,Especialista,Presencial,Não,Esperava mais interação ao vivo. Ficou muito teórico.
309,R2,T2/26,Abril,Fortaleza,4,5,6,3,5,5,Coordenador de área,Híbrido,Não,Intervalo muito curto para o volume de conteúdo.
310,POS,T3/26,Janeiro,Fortaleza,8,9,7,7,6,8,Coordenador de área,Presencial,Talvez,Alguns módulos muito densos para o tempo disponível.
311,SHHE,T5/26,Fevereiro,São Paulo,10,9,10,9,9,8,Médico,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
312,HTI,T3/26,Março,São Paulo,9,10,8,7,9,8,Residente,Presencial,Sim,O suporte antes e durante o curso foi impecável.
313,POS,T2/26,Março,Fortaleza,10,10,10,10,9,9,Médico,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
314,HTI,T5/26,Janeiro,São Paulo,10,9,9,9,10,8,Residente,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
315,HTI,T3/26,Junho,Fortaleza,10,10,10,8,10,8,Médico,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
316,R2,T4/26,Janeiro,Fortaleza,1,5,6,3,4,4,Residente,Híbrido,Não,Esperava mais interação ao vivo. Ficou muito teórico.
317,NEXAL,T4/26,Maio,Fortaleza,10,10,10,10,9,8,Especialista,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
318,POS,T4/26,Março,Fortaleza,9,8,9,8,10,9,Médico recém-formado,Presencial,Sim,O suporte antes e durante o curso foi impecável.
319,SHHE,T4/26,Janeiro,São Paulo,10,10,10,7,10,9,Médico recém-formado,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
320,POS,T2/26,Abril,Fortaleza,8,9,7,7,8,7,Médico,Presencial,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
321,R2,T2/26,Fevereiro,Fortaleza,10,10,10,8,8,9,Coordenador de área,Híbrido,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
322,POS,T5/26,Junho,Fortaleza,10,9,9,10,10,10,Especialista,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
323,SHHE,T1/26,Março,São Paulo,9,8,9,7,10,10,Especialista,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
324,NEXAL,T4/26,Junho,Fortaleza,9,10,10,6,7,10,Médico,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
325,SHHE,T1/26,Fevereiro,São Paulo,6,5,6,3,4,7,Coordenador de área,Presencial,Não,Conteúdo repetitivo em relação ao que aprendi em outro curso.
326,R2,T4/26,Fevereiro,Fortaleza,10,10,10,10,8,10,Médico,Híbrido,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
327,NEXAL,T3/26,Maio,Fortaleza,8,8,9,6,7,8,Médico recém-formado,Presencial,Talvez,Bom de forma geral. A plataforma EAD precisa melhorar.
328,R2,T3/26,Maio,Fortaleza,9,9,9,7,9,8,Residente,Híbrido,Sim,O suporte antes e durante o curso foi impecável.
329,POS,T1/26,Março,Fortaleza,9,8,9,6,7,9,Residente,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
330,HTI,T5/26,Abril,São Paulo,4,5,6,3,4,4,Médico recém-formado,Presencial,Não,Apostila com erros em vários módulos.
331,NEXAL,T1/26,Fevereiro,Fortaleza,8,8,9,7,8,9,Especialista,Presencial,Talvez,Bom de forma geral. A plataforma EAD precisa melhorar.
332,HTI,T5/26,Fevereiro,Fortaleza,7,6,7,4,6,8,Especialista,Presencial,Talvez,O suporte demorou para responder minhas dúvidas pré-evento.
333,R2,T4/26,Fevereiro,Fortaleza,7,6,6,4,6,6,Residente,Híbrido,Talvez,Bom conteúdo mas apresentação dos slides poderia ser mais visual.
334,HTI,T3/26,Janeiro,São Paulo,4,5,6,4,5,4,Especialista,Presencial,Não,Cronograma atrasou mais de 1h no segundo dia sem aviso.
335,HTI,T2/26,Maio,São Paulo,10,10,10,9,10,10,Médico recém-formado,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
336,R2,T2/26,Fevereiro,Fortaleza,10,10,10,8,10,10,Coordenador de área,Híbrido,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
337,HTI,T5/26,Abril,São Paulo,7,7,7,6,8,6,Médico recém-formado,Presencial,Talvez,Bom de forma geral. A plataforma EAD precisa melhorar.
338,POS,T3/26,Fevereiro,Fortaleza,10,9,9,10,10,9,Médico,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
339,NEXAL,T3/26,Janeiro,Fortaleza,10,10,10,7,10,8,Especialista,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
340,POS,T1/26,Junho,Fortaleza,10,10,10,7,8,10,Médico recém-formado,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
341,POS,T2/26,Abril,Fortaleza,10,10,10,7,8,10,Médico,Presencial,Sim,"A plataforma EAD funcionou perfeitamente, sem nenhuma interrupção."
342,SHHE,T2/26,Fevereiro,Fortaleza,10,9,9,10,8,10,Médico,Presencial,Sim,O suporte antes e durante o curso foi impecável.
343,NEXAL,T2/26,Junho,Fortaleza,9,8,9,8,8,9,Médico recém-formado,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
344,POS,T4/26,Junho,Fortaleza,9,8,8,7,9,7,Residente,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
345,HTI,T3/26,Maio,Fortaleza,9,8,10,6,9,9,Médico recém-formado,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
346,HTI,T3/26,Abril,São Paulo,10,10,10,7,8,8,Residente,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
347,SHHE,T3/26,Maio,São Paulo,2,5,6,3,4,4,Médico,Presencial,Não,Apostila com erros em vários módulos.
348,NEXAL,T2/26,Junho,Fortaleza,10,9,10,7,10,10,Residente,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
349,SHHE,T5/26,Março,São Paulo,10,10,9,8,10,10,Coordenador de área,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
350,HTI,T4/26,Março,São Paulo,8,9,9,8,7,6,Médico recém-formado,Presencial,Talvez,Alguns módulos muito densos para o tempo disponível.
351,SHHE,T5/26,Maio,São Paulo,10,10,10,9,9,10,Médico recém-formado,Presencial,Sim,O suporte antes e durante o curso foi impecável.
352,NEXAL,T1/26,Maio,Fortaleza,10,10,9,10,10,8,Médico,Presencial,Sim,O suporte antes e durante o curso foi impecável.
353,SHHE,T4/26,Fevereiro,São Paulo,8,9,8,5,8,6,Especialista,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
354,SHHE,T4/26,Abril,São Paulo,9,8,8,8,9,8,Coordenador de área,Presencial,Sim,O suporte antes e durante o curso foi impecável.
355,SHHE,T1/26,Abril,São Paulo,9,10,10,9,10,10,Residente,Presencial,Sim,Superou minhas expectativas. Material didático de altíssima qualidade.
356,NEXAL,T5/26,Março,Fortaleza,9,9,9,6,8,7,Coordenador de área,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
357,NEXAL,T5/26,Abril,Fortaleza,9,8,10,7,9,8,Médico recém-formado,Presencial,Sim,"Professor incrível, conteúdo denso mas muito bem explicado."
358,SHHE,T3/26,Janeiro,São Paulo,8,7,8,8,9,7,Coordenador de área,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
359,SHHE,T2/26,Fevereiro,São Paulo,5,5,6,5,4,4,Residente,Presencial,Não,Cronograma atrasou mais de 1h no segundo dia sem aviso.
360,NEXAL,T1/26,Abril,Fortaleza,7,6,7,7,6,8,Coordenador de área,Presencial,Talvez,Bom conteúdo mas apresentação dos slides poderia ser mais visual.
361,SHHE,T1/26,Abril,Fortaleza,10,9,10,9,10,10,Médico recém-formado,Presencial,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
362,R2,T1/26,Março,Fortaleza,9,10,10,6,8,8,Residente,Híbrido,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
363,NEXAL,T3/26,Maio,Fortaleza,10,10,10,10,8,9,Residente,Presencial,Sim,Excelente curadoria de palestrantes. Muito além do esperado.
