ID,Edicao_Congresso,Perfil_Participante,Estado,Especialidade,Como_Ficou_Sabendo,Primeiro_Congresso,Nota_Geral_0_10,Nota_Conteudo_Cientifico,Nota_Palestrantes,Nota_Logistica,Nota_Credenciamento,Nota_Coffee_Refeicoes,Nota_App_Evento,Interesse_Proxima_Edicao,Indicaria_Para_Colegas,Comentario_Aberto
149,Congresso Anual XPTO,Equipe interna XPTO,ES,Geriatria,Redes sociais,Não,6,6,7,7,3,6,3,Talvez,Talvez,Cronograma atrasou mais de 1h30 no segundo dia sem comunicação.
150,Congresso Anual XPTO,Equipe interna XPTO,ES,Endocrinologia,Site XPTO,Não,10,10,10,8,9,9,10,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
151,Congresso Anual XPTO,Equipe interna XPTO,PI,Cardiologia,Site XPTO,Não,10,10,9,9,9,9,9,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
152,Congresso Anual XPTO,Equipe interna XPTO,RJ,Clínica Geral,Email marketing,Sim,10,9,9,10,10,8,8,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
153,Congresso Anual XPTO,Médico participante,RN,Endocrinologia,Email marketing,Sim,8,8,9,8,9,6,5,Sim,Sim,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
154,Congresso Anual XPTO,Patrocinador,AM,Clínica Geral,Email marketing,Não,6,6,7,4,4,5,6,Talvez,Talvez,Microfone com chiado durante a palestra principal. Dificultou muito.
155,Congresso Anual XPTO,Médico participante,PE,Geriatria,Redes sociais,Não,10,9,10,10,8,8,10,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
156,Congresso Anual XPTO,Patrocinador,PR,Psiquiatria,Parceiro clínica,Não,9,9,10,8,8,7,9,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
157,Congresso Anual XPTO,Médico residente,PR,Ortopedia,Site XPTO,Não,8,9,8,8,8,9,6,Sim,Sim,Organização boa mas coffee break repetitivo no segundo dia.
158,Congresso Anual XPTO,Médico residente,AM,Cardiologia,Indicação de colega,Não,7,6,6,5,4,5,5,Sim,Talvez,Conteúdo excelente mas programação muito densa para 2 dias.
159,Congresso Anual XPTO,Equipe interna XPTO,RS,Endocrinologia,Congresso anterior,Sim,8,8,9,8,9,7,8,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
160,Congresso Anual XPTO,Equipe interna XPTO,MG,Psiquiatria,Congresso anterior,Não,9,10,9,8,9,7,8,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
161,Congresso Anual XPTO,Equipe interna XPTO,BA,Nutrologia,Email marketing,Sim,4,6,6,4,4,5,4,Não,Não,Wi-Fi caiu no segundo dia. Apresentações com vídeo ficaram prejudicadas.
162,Congresso Anual XPTO,Equipe interna XPTO,RS,Nutrologia,Congresso anterior,Não,8,8,9,7,5,7,7,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
163,Congresso Anual XPTO,Médico participante,RN,Nutrologia,Indicação de colega,Sim,10,9,10,10,9,9,8,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
164,Congresso Anual XPTO,Médico participante,SP,Psiquiatria,Redes sociais,Não,8,9,8,8,5,6,8,Sim,Sim,Localização ótima mas estacionamento insuficiente.
165,Congresso Anual XPTO,Médico palestrante,RS,Nutrologia,Congresso anterior,Não,10,10,10,10,10,10,8,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
166,Congresso Anual XPTO,Médico residente,CE,Pediatria,Congresso anterior,Não,9,10,9,7,8,9,6,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
167,Congresso Anual XPTO,Convidado especial,RJ,Pediatria,Parceiro clínica,Não,10,10,10,9,9,9,10,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
168,Congresso Anual XPTO,Patrocinador,CE,Cardiologia,Congresso anterior,Não,8,8,7,7,5,7,8,Sim,Sim,Localização ótima mas estacionamento insuficiente.
169,Congresso Anual XPTO,Equipe interna XPTO,SP,Medicina Integrativa,Email marketing,Sim,10,10,10,10,7,10,7,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
170,Congresso Anual XPTO,Convidado especial,BA,Neurologia,Congresso anterior,Não,8,7,7,9,9,8,6,Sim,Sim,Localização ótima mas estacionamento insuficiente.
171,Congresso Anual XPTO,Médico participante,ES,Clínica Geral,Redes sociais,Não,8,8,7,6,6,8,6,Sim,Sim,Organização boa mas coffee break repetitivo no segundo dia.
172,Congresso Anual XPTO,Médico residente,PE,Medicina Integrativa,Indicação de colega,Não,7,6,7,5,6,7,4,Sim,Talvez,Conteúdo excelente mas programação muito densa para 2 dias.
173,Congresso Anual XPTO,Médico palestrante,MG,Ginecologia,Indicação de colega,Sim,10,10,9,8,10,10,7,Sim,Sim,Excelente curadoria de palestrantes. Cada apresentação trouxe valor real.
174,Congresso Anual XPTO,Convidado especial,PB,Neurologia,Email marketing,Não,9,9,8,9,6,9,7,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
175,Congresso Anual XPTO,Médico palestrante,SE,Dermatologia,Congresso anterior,Sim,10,10,9,8,8,9,9,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
176,Congresso Anual XPTO,Convidado especial,SE,Cardiologia,Site XPTO,Não,8,8,8,9,5,9,6,Sim,Sim,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
177,Congresso Anual XPTO,Médico palestrante,MA,Psiquiatria,Site XPTO,Não,9,8,10,8,9,10,9,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
178,Congresso Anual XPTO,Médico residente,GO,Cardiologia,Email marketing,Sim,9,8,10,9,6,9,8,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
179,Congresso Anual XPTO,Médico residente,SP,Nutrologia,Parceiro clínica,Não,6,6,7,4,7,5,6,Talvez,Talvez,Microfone com chiado durante a palestra principal. Dificultou muito.
180,Congresso Anual XPTO,Convidado especial,SE,Ortopedia,Parceiro clínica,Não,7,6,8,7,5,7,7,Sim,Talvez,Organização boa mas coffee break repetitivo no segundo dia.
181,Congresso Anual XPTO,Médico participante,MG,Ginecologia,Redes sociais,Não,10,9,10,10,10,9,9,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
182,Congresso Anual XPTO,Equipe interna XPTO,RJ,Neurologia,Redes sociais,Sim,9,10,9,10,6,7,8,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
183,Congresso Anual XPTO,Médico palestrante,RJ,Endocrinologia,WhatsApp,Não,9,8,9,7,6,9,8,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
184,Congresso Anual XPTO,Médico participante,PR,Geriatria,Indicação de colega,Não,10,9,9,10,9,8,9,Sim,Sim,Excelente curadoria de palestrantes. Cada apresentação trouxe valor real.
185,Congresso Anual XPTO,Médico residente,SC,Clínica Geral,Site XPTO,Sim,8,8,7,8,7,6,6,Sim,Sim,Conteúdo excelente mas programação muito densa para 2 dias.
186,Congresso Anual XPTO,Médico participante,PI,Ginecologia,Email marketing,Não,5,6,6,4,4,5,3,Talvez,Não,Palestrante do horário nobre cancelou sem aviso adequado.
187,Congresso Anual XPTO,Patrocinador,PR,Endocrinologia,Congresso anterior,Não,9,8,10,7,9,8,7,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
188,Congresso Anual XPTO,Médico residente,AL,Cardiologia,Site XPTO,Sim,9,9,10,8,9,8,6,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
189,Congresso Anual XPTO,Médico palestrante,MA,Psiquiatria,Site XPTO,Sim,10,10,10,9,10,10,9,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
190,Congresso Anual XPTO,Médico palestrante,MA,Clínica Geral,Congresso anterior,Não,8,9,8,6,5,9,6,Sim,Sim,Organização boa mas coffee break repetitivo no segundo dia.
191,Congresso Anual XPTO,Médico residente,RS,Geriatria,Indicação de colega,Não,9,10,8,8,6,8,7,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
192,Congresso Anual XPTO,Médico participante,RJ,Psiquiatria,Site XPTO,Sim,10,10,9,8,8,8,7,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
193,Congresso Anual XPTO,Médico participante,AM,Cardiologia,Site XPTO,Sim,7,8,6,7,6,8,7,Sim,Talvez,Organização boa mas coffee break repetitivo no segundo dia.
194,Congresso Anual XPTO,Equipe interna XPTO,BA,Psiquiatria,Indicação de colega,Sim,8,7,9,7,8,9,7,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
195,Congresso Anual XPTO,Médico participante,PE,Ginecologia,Site XPTO,Não,7,6,8,8,8,7,5,Sim,Talvez,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
196,Congresso Anual XPTO,Médico participante,SC,Endocrinologia,Redes sociais,Não,7,6,7,5,8,8,6,Sim,Talvez,Organização boa mas coffee break repetitivo no segundo dia.
197,Congresso Anual XPTO,Médico residente,DF,Pediatria,Indicação de colega,Não,10,10,10,10,8,10,8,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
198,Congresso Anual XPTO,Médico palestrante,SP,Cardiologia,Congresso anterior,Não,8,9,9,7,5,8,7,Sim,Sim,Organização boa mas coffee break repetitivo no segundo dia.
199,Congresso Anual XPTO,Médico residente,MG,Dermatologia,Parceiro clínica,Não,9,9,10,10,6,7,6,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
200,Congresso Anual XPTO,Patrocinador,PE,Cardiologia,Parceiro clínica,Não,10,10,10,9,10,8,8,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
201,Congresso Anual XPTO,Patrocinador,SE,Medicina Integrativa,WhatsApp,Não,2,6,6,4,3,5,3,Não,Não,Coffee break acabou antes do intervalo terminar. Problema de planejamento.
202,Congresso Anual XPTO,Convidado especial,BA,Psiquiatria,Site XPTO,Não,10,10,10,10,7,10,10,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
203,Congresso Anual XPTO,Médico palestrante,DF,Nutrologia,Email marketing,Não,8,7,9,8,8,7,8,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
204,Congresso Anual XPTO,Médico residente,RJ,Clínica Geral,WhatsApp,Sim,8,7,7,9,8,6,5,Sim,Sim,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
205,Congresso Anual XPTO,Médico residente,RS,Cardiologia,Congresso anterior,Sim,7,6,6,7,4,8,4,Sim,Talvez,Organização boa mas coffee break repetitivo no segundo dia.
206,Congresso Anual XPTO,Médico residente,PI,Pediatria,Indicação de colega,Sim,8,7,9,6,5,8,6,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
207,Congresso Anual XPTO,Equipe interna XPTO,PE,Neurologia,Indicação de colega,Não,9,10,8,10,7,10,8,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
208,Congresso Anual XPTO,Médico participante,AL,Geriatria,Indicação de colega,Não,8,8,9,8,7,9,6,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
209,Congresso Anual XPTO,Médico residente,MG,Psiquiatria,WhatsApp,Sim,9,8,8,8,7,7,7,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
210,Congresso Anual XPTO,Médico palestrante,BA,Endocrinologia,Redes sociais,Não,5,6,6,4,3,5,3,Talvez,Não,Wi-Fi caiu no segundo dia. Apresentações com vídeo ficaram prejudicadas.
211,Congresso Anual XPTO,Médico residente,SC,Psiquiatria,Site XPTO,Sim,9,8,9,10,6,8,8,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
212,Congresso Anual XPTO,Convidado especial,PR,Psiquiatria,Parceiro clínica,Não,6,6,6,4,4,7,3,Talvez,Talvez,Cronograma atrasou mais de 1h30 no segundo dia sem comunicação.
213,Congresso Anual XPTO,Médico palestrante,PR,Dermatologia,Congresso anterior,Não,9,10,10,9,9,8,7,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
214,Congresso Anual XPTO,Equipe interna XPTO,PR,Geriatria,Parceiro clínica,Não,8,8,9,7,5,7,8,Sim,Sim,Organização boa mas coffee break repetitivo no segundo dia.
215,Congresso Anual XPTO,Equipe interna XPTO,SE,Pediatria,Email marketing,Não,7,8,6,5,5,5,7,Sim,Talvez,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
216,Congresso Anual XPTO,Médico residente,PI,Ortopedia,Congresso anterior,Sim,5,6,6,4,3,5,3,Talvez,Não,Palestrante do horário nobre cancelou sem aviso adequado.
217,Congresso Anual XPTO,Médico palestrante,SE,Neurologia,Email marketing,Não,9,8,9,9,8,8,7,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
218,Congresso Anual XPTO,Equipe interna XPTO,RN,Cardiologia,Indicação de colega,Sim,9,8,10,8,10,10,6,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
219,Congresso Anual XPTO,Médico residente,SE,Clínica Geral,Congresso anterior,Não,9,10,9,9,6,7,6,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
220,Congresso Anual XPTO,Médico residente,SP,Ortopedia,Email marketing,Sim,8,9,9,6,5,7,8,Sim,Sim,Conteúdo excelente mas programação muito densa para 2 dias.
221,Congresso Anual XPTO,Equipe interna XPTO,SE,Psiquiatria,Redes sociais,Sim,10,10,10,8,8,10,9,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
222,Congresso Anual XPTO,Médico residente,MG,Neurologia,Congresso anterior,Não,9,9,8,7,10,8,9,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
223,Congresso Anual XPTO,Equipe interna XPTO,AL,Clínica Geral,Indicação de colega,Sim,10,10,10,8,9,10,10,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
224,Congresso Anual XPTO,Convidado especial,ES,Pediatria,Email marketing,Sim,9,8,10,9,7,10,8,Sim,Sim,Já indiquei para 5 colegas. Vale muito o investimento.
225,Congresso Anual XPTO,Patrocinador,RJ,Nutrologia,Congresso anterior,Não,8,7,8,9,9,6,6,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
226,Congresso Anual XPTO,Médico palestrante,PE,Neurologia,Indicação de colega,Não,8,7,8,8,6,9,5,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
227,Congresso Anual XPTO,Médico residente,RN,Ginecologia,Site XPTO,Sim,8,9,9,9,9,8,5,Sim,Sim,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
228,Congresso Anual XPTO,Médico palestrante,RJ,Ginecologia,Redes sociais,Sim,10,10,10,8,10,8,9,Sim,Sim,Já indiquei para 5 colegas. Vale muito o investimento.
229,Congresso Anual XPTO,Médico residente,PE,Psiquiatria,Indicação de colega,Não,10,10,9,9,10,9,7,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
230,Congresso Anual XPTO,Patrocinador,DF,Endocrinologia,Congresso anterior,Sim,7,7,8,7,5,7,7,Sim,Talvez,Organização boa mas coffee break repetitivo no segundo dia.
231,Congresso Anual XPTO,Médico palestrante,SP,Cardiologia,Site XPTO,Não,7,8,8,8,5,5,6,Sim,Talvez,Organização boa mas coffee break repetitivo no segundo dia.
232,Congresso Anual XPTO,Médico participante,PB,Ginecologia,Parceiro clínica,Não,8,9,8,7,7,8,7,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
233,Congresso Anual XPTO,Médico palestrante,MT,Cardiologia,Congresso anterior,Não,8,9,9,7,7,7,5,Sim,Sim,Conteúdo excelente mas programação muito densa para 2 dias.
234,Congresso Anual XPTO,Equipe interna XPTO,MT,Dermatologia,Site XPTO,Não,10,10,10,8,8,8,9,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
235,Congresso Anual XPTO,Convidado especial,AL,Neurologia,Indicação de colega,Não,8,7,8,6,7,6,7,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
236,Congresso Anual XPTO,Patrocinador,DF,Cardiologia,Indicação de colega,Sim,10,10,9,10,10,10,7,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
237,Congresso Anual XPTO,Médico residente,DF,Endocrinologia,Parceiro clínica,Sim,6,7,7,7,7,7,3,Talvez,Talvez,Credenciamento demorou mais de 50 minutos. Perdi a primeira palestra.
238,Congresso Anual XPTO,Convidado especial,BA,Cardiologia,WhatsApp,Sim,9,8,9,8,7,10,8,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
239,Congresso Anual XPTO,Médico participante,ES,Ginecologia,Congresso anterior,Sim,10,10,10,10,9,10,7,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
240,Congresso Anual XPTO,Convidado especial,ES,Neurologia,Congresso anterior,Não,10,9,9,9,7,8,7,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
241,Congresso Anual XPTO,Equipe interna XPTO,MG,Neurologia,Indicação de colega,Não,9,8,8,10,8,10,9,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
242,Congresso Anual XPTO,Médico residente,SC,Geriatria,Email marketing,Não,10,9,10,9,10,10,9,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
243,Congresso Anual XPTO,Médico participante,RJ,Dermatologia,WhatsApp,Sim,10,10,10,10,7,10,8,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
244,Congresso Anual XPTO,Equipe interna XPTO,AL,Pediatria,Redes sociais,Sim,9,9,8,8,7,8,7,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
245,Congresso Anual XPTO,Médico palestrante,PB,Dermatologia,Redes sociais,Não,8,7,8,6,7,7,8,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
246,Congresso Anual XPTO,Patrocinador,SP,Nutrologia,Indicação de colega,Não,10,10,10,8,10,8,7,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
247,Congresso Anual XPTO,Médico palestrante,ES,Ginecologia,Email marketing,Sim,10,9,10,9,9,10,10,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
248,Congresso Anual XPTO,Médico participante,SP,Medicina Integrativa,Indicação de colega,Não,9,9,10,8,6,8,7,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
249,Congresso Anual XPTO,Patrocinador,GO,Ginecologia,Parceiro clínica,Não,9,8,9,7,9,10,9,Sim,Sim,Excelente curadoria de palestrantes. Cada apresentação trouxe valor real.
250,Congresso Anual XPTO,Médico residente,RS,Geriatria,Indicação de colega,Não,10,10,10,8,7,9,9,Sim,Sim,Excelente curadoria de palestrantes. Cada apresentação trouxe valor real.
251,Congresso Anual XPTO,Médico participante,AL,Pediatria,Parceiro clínica,Sim,8,7,8,7,8,6,6,Sim,Sim,Localização ótima mas estacionamento insuficiente.
252,Congresso Anual XPTO,Médico residente,GO,Geriatria,Congresso anterior,Sim,5,6,6,6,3,5,4,Talvez,Não,Palestrante do horário nobre cancelou sem aviso adequado.
253,Congresso Anual XPTO,Patrocinador,SC,Geriatria,Indicação de colega,Sim,9,9,9,8,9,10,9,Sim,Sim,Já indiquei para 5 colegas. Vale muito o investimento.
254,Congresso Anual XPTO,Patrocinador,SE,Psiquiatria,WhatsApp,Não,9,10,10,10,6,9,7,Sim,Sim,Excelente curadoria de palestrantes. Cada apresentação trouxe valor real.
255,Congresso Anual XPTO,Patrocinador,PI,Medicina Integrativa,Congresso anterior,Não,8,8,9,6,7,6,7,Sim,Sim,Localização ótima mas estacionamento insuficiente.
256,Congresso Anual XPTO,Médico palestrante,BA,Clínica Geral,Indicação de colega,Sim,8,7,8,9,9,6,8,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
257,Congresso Anual XPTO,Convidado especial,RN,Endocrinologia,Site XPTO,Não,7,7,6,8,5,6,6,Sim,Talvez,Localização ótima mas estacionamento insuficiente.
258,Congresso Anual XPTO,Convidado especial,MA,Cardiologia,Redes sociais,Não,9,9,10,8,10,8,6,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
259,Congresso Anual XPTO,Médico participante,GO,Medicina Integrativa,Congresso anterior,Sim,10,10,10,10,9,8,8,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
260,Congresso Anual XPTO,Convidado especial,GO,Neurologia,Congresso anterior,Sim,8,8,7,9,9,9,7,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
261,Congresso Anual XPTO,Médico residente,RJ,Cardiologia,Email marketing,Não,9,9,8,8,7,9,8,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
262,Congresso Anual XPTO,Patrocinador,BA,Dermatologia,Site XPTO,Não,7,8,7,7,4,5,5,Sim,Talvez,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
263,Congresso Anual XPTO,Médico palestrante,SP,Ginecologia,Congresso anterior,Não,8,8,8,6,5,6,8,Sim,Sim,Localização ótima mas estacionamento insuficiente.
264,Congresso Anual XPTO,Médico participante,RJ,Psiquiatria,Indicação de colega,Não,8,7,7,6,8,6,7,Sim,Sim,Conteúdo excelente mas programação muito densa para 2 dias.
265,Congresso Anual XPTO,Patrocinador,MA,Clínica Geral,Parceiro clínica,Não,8,8,8,7,9,7,8,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
266,Congresso Anual XPTO,Médico residente,RS,Ginecologia,Congresso anterior,Não,7,7,7,5,7,8,7,Sim,Talvez,Organização boa mas coffee break repetitivo no segundo dia.
267,Congresso Anual XPTO,Equipe interna XPTO,PR,Ginecologia,Congresso anterior,Não,10,10,10,10,8,9,9,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
268,Congresso Anual XPTO,Convidado especial,RJ,Ortopedia,Parceiro clínica,Não,9,9,9,7,7,7,8,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
269,Congresso Anual XPTO,Equipe interna XPTO,AL,Psiquiatria,WhatsApp,Não,5,6,6,4,5,5,3,Talvez,Não,Sinalização do hotel confusa. Me perdi indo para o workshop.
270,Congresso Anual XPTO,Patrocinador,GO,Ortopedia,Indicação de colega,Sim,8,8,7,9,9,6,8,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
271,Congresso Anual XPTO,Médico palestrante,PR,Psiquiatria,Email marketing,Sim,9,8,9,7,7,10,7,Sim,Sim,Excelente curadoria de palestrantes. Cada apresentação trouxe valor real.
272,Congresso Anual XPTO,Médico residente,AM,Endocrinologia,Site XPTO,Não,9,9,9,7,7,8,9,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
273,Congresso Anual XPTO,Médico residente,SE,Dermatologia,Redes sociais,Não,9,10,8,9,6,8,9,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
274,Congresso Anual XPTO,Convidado especial,CE,Clínica Geral,Site XPTO,Não,8,7,7,9,6,8,5,Sim,Sim,Salas um pouco frias no segundo período. Sugiro ajuste no ar-condicionado.
275,Congresso Anual XPTO,Equipe interna XPTO,SE,Clínica Geral,Indicação de colega,Não,9,9,10,8,7,7,6,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
276,Congresso Anual XPTO,Médico residente,RJ,Pediatria,Parceiro clínica,Não,9,8,8,8,8,10,7,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
277,Congresso Anual XPTO,Convidado especial,AM,Ortopedia,Parceiro clínica,Não,10,10,10,10,8,10,8,Sim,Sim,Excelente curadoria de palestrantes. Cada apresentação trouxe valor real.
278,Congresso Anual XPTO,Médico palestrante,MG,Neurologia,Indicação de colega,Não,9,9,9,7,8,8,9,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
279,Congresso Anual XPTO,Médico participante,RN,Ortopedia,WhatsApp,Não,9,9,9,7,9,10,6,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
280,Congresso Anual XPTO,Equipe interna XPTO,DF,Medicina Integrativa,WhatsApp,Sim,10,9,10,8,10,9,7,Sim,Sim,Já indiquei para 5 colegas. Vale muito o investimento.
281,Congresso Anual XPTO,Médico palestrante,PR,Cardiologia,Congresso anterior,Não,8,7,7,9,7,6,7,Sim,Sim,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
282,Congresso Anual XPTO,Médico participante,PE,Medicina Integrativa,WhatsApp,Sim,9,10,10,8,6,8,8,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
283,Congresso Anual XPTO,Equipe interna XPTO,PB,Geriatria,Email marketing,Não,9,10,9,8,9,9,6,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
284,Congresso Anual XPTO,Médico palestrante,CE,Nutrologia,Parceiro clínica,Sim,10,10,10,9,10,10,9,Sim,Sim,Excelente curadoria de palestrantes. Cada apresentação trouxe valor real.
285,Congresso Anual XPTO,Patrocinador,RS,Dermatologia,WhatsApp,Não,10,10,10,8,7,10,9,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
286,Congresso Anual XPTO,Médico residente,SE,Neurologia,Site XPTO,Sim,9,9,8,9,7,8,9,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
287,Congresso Anual XPTO,Equipe interna XPTO,RN,Cardiologia,WhatsApp,Não,7,8,7,7,7,5,4,Sim,Talvez,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
288,Congresso Anual XPTO,Equipe interna XPTO,MA,Neurologia,Site XPTO,Não,9,10,10,10,10,10,7,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
289,Congresso Anual XPTO,Patrocinador,AL,Geriatria,Indicação de colega,Não,10,9,10,10,10,8,10,Sim,Sim,Já indiquei para 5 colegas. Vale muito o investimento.
290,Congresso Anual XPTO,Médico palestrante,DF,Nutrologia,Email marketing,Não,8,7,9,8,8,9,7,Sim,Sim,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
291,Congresso Anual XPTO,Convidado especial,CE,Ginecologia,Congresso anterior,Sim,7,8,6,7,6,7,6,Sim,Talvez,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
292,Congresso Anual XPTO,Convidado especial,MT,Pediatria,WhatsApp,Não,7,7,8,7,5,6,5,Sim,Talvez,Organização boa mas coffee break repetitivo no segundo dia.
293,Congresso Anual XPTO,Equipe interna XPTO,DF,Cardiologia,WhatsApp,Não,10,10,10,9,9,8,9,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
294,Congresso Anual XPTO,Convidado especial,AM,Ortopedia,Site XPTO,Sim,10,10,10,9,10,9,10,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
295,Congresso Anual XPTO,Médico palestrante,DF,Nutrologia,WhatsApp,Não,10,10,9,9,10,8,10,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
296,Congresso Anual XPTO,Patrocinador,SP,Psiquiatria,Site XPTO,Não,8,8,9,8,5,8,8,Sim,Sim,Organização boa mas coffee break repetitivo no segundo dia.
